1,Clark,Owen,Holmes,Prescribe,89078793,177300227,44661 High Street,Zilwaukee,MI,48604,1
2,Maximilian,Hailey,Elliott,Diagnose,652376393,457908818,1210 Deerfield Drive,Saginaw,MI,48601,0
3,Alen,Antony,Bennett,Advisor,292804813,23506015,16844 3rd Street,Saginaw,MI,48601,1
4,Anna,Tyler,Moore,Diagnose,249233792,813242890,085499 Mulberry Lane,Bay City,MI,48707,1
5,Anna,Connie,Holmes,Diagnose,782381477,310128208,60316 3rd Street,Zilwaukee,MI,48604,1
6,Amelia,Sam,Higgins,Prescribe,348012126,732571047,184513 4th Street,Saginaw,MI,48601,1
7,Madaline,Florrie,Brown,Prescribe,870197896,86484259,850972 Grant Avenue,Bay City,MI,48707,1
8,Alina,Melanie,Hawkins,Advisor,370349023,802626004,59963 Grant Avenue,Saginaw,MI,48601,0
9,Kellan,Adele,Harrison,Diagnose,292590879,175787362,169905 3rd Street,Kochville,MI,48604,0
10,Lucy,Amy,Douglas,Prescribe,534490005,341622990,7154 Magnolia Court,Saginaw,MI,48601,0
11,Tony,Dale,Moore,Diagnose,204104846,748360950,078069 Grant Avenue,Kochville,MI,48604,1
12,Hailey,Steven,Cole,Prescribe,744045015,615078988,68984 Mulberry Lane,Bay City,MI,48707,0
13,Evelyn,Alisa,Baker,Prescribe,897299084,797291572,7528 4th Street,Bay City,MI,48707,1
14,Clark,Chloe,Wilson,Advisor,790990235,929462100,077937 Linden Street,Saginaw,MI,48601,0
15,Honey,Carina,Adams,Prescribe,170578379,999982554,31342 Grant Avenue,Saginaw,MI,48601,0
