1,278769641,6fOVv1hWToceutMzN,Annabella,Allen,Cadie,8/22/1992,Female,197,92.72,10647 Blake St,Manistee,DE,23287,4272767872,ACAllen@gmail.com,33,1
2,692279519,siG6vAqSB0Eo2sxCM6,James,Andrews,Thomas,10/9/2016,Male,145,130.43,3761 Braley St,Mount Clemens,WI,57681,8152868883,JTAndrews@yahoo.com,36,1
3,857757949,EgzR1StqbfRgiamW,Valeria,Thompson,Fiona,8/20/1962,Female,195,72.88,3761 N 10th St,Grand Rapids,WY,57684,5311265125,VFThompson@hotmail.com,9,0
4,305247001,7dpgifpJamKjfCT1ZvzMy,Anna,Russell,Samantha,7/31/1939,Female,160,155.5,3761 Essling St,Cadillac,IL,32512,9761176147,ASRussell@hotmail.com,90,0
5,993200249,FsJ4S0dCYDehWaTYmRqejoR,Patrick,Andrews,Luke,10/28/1932,Male,157,116,10647 Bradley St,Escanaba,ND,54143,7663579176,PLAndrews@gmail.com,96,1
6,549699143,Ue8KokoJJqmtI7Uwzd9,Alexander,Perry,Alina,3/10/1916,Male,198,110.39,3761 Division St,Iron Mountain,AZ,67881,3947731963,AAPerry@svsu.edu,79,1
7,315338474,UIhDcaSBl5ldUHauOg,Dale,Jones,Jasmine,11/24/1958,Male,184,146.4,3761 Ames St,Iron Mountain,NE,95234,8498489839,DJJones@gmail.com,45,0
8,285430868,oRdIqN4tylAXfiYuLBf7gK9,Sophia,Moore,Jenna,6/25/1963,Female,149,70.7,10647 Lexington Dr,Cheboygan,TN,48859,1317343164,SJMoore@hotmail.com,20,0
9,400218092,ESdEdWBYJLhNeYOOu,Jacob,Crawford,Brooke,3/17/2019,Male,184,96.37,10647 Bradley St,Eastpointe,NV,96964,6625182543,JBCrawford@svsu.edu,84,0
10,949764144,omRy5eK9HCVxtVpX9CE7jn,Eric,Carroll,Lucia,2/8/1964,Male,166,102.96,3761 Limerick St,Menominee,NY,66246,9996337435,ELCarroll@svsu.edu,90,0
11,824923884,PPDCiZgyPnA7WTW1iVtFf,Grace,Myers,Patrick,5/6/2013,Female,176,78.5,10647 Heyn Ave,Ludington,FL,73536,5772549561,GPMyers@svsu.edu,55,0
12,963430449,Dp3Ey3wWxsnmrEzLKUte,Alissa,,Maya,9/16/1918,Female,142,129.32,10647 Ames St,Midland,ME,24431,9121918587,AMMurphy@hotmail.com,14,1
13,263405347,1r3Q7aPUrpbZwmVi,Garry,Cole,Miller,2/14/1970,Male,170,80.76,10647 Hess Ave,Port Huron,PA,89391,9292731529,GMCole@yahoo.com,89,1
14,260198093,AFKGW59dhljUuau3Eq,Ryan,Warren,Sawyer,1/27/1989,Male,148,97.61,10647 N 10th St,Mount Clemens,NJ,82353,2326142547,RSWarren@yahoo.com,57,1
15,634017790,90Uj1da3eXE70HGpF,Adison,Hill,Lily,4/21/1913,Male,142,152.68,10647 Heyn Ave,East Lansing,UT,65748,5172542142,ALHill@gmail.com,38,0
16,255715675,L8quSLPt8OTzq3E08rHtW,Henry,Cooper,Aston,8/30/1913,Male,134,115.82,3761 Erie St,Menominee,MN,72459,1851558446,HACooper@yahoo.com,38,1
17,854801908,4D68vmDfK7RlJvoPOEXOzvUH,Julia,Martin,Savana,8/14/1970,Female,167,144.46,10647 Moton Dr,Port Huron,SD,63914,5987951418,JSMartin@hotmail.com,94,1
18,380398182,oMimuQH470eQht4sZlh6,Lucy,Harris,Rosie,12/4/1920,Female,194,71.85,3761 Appold Dr,East Lansing,CT,83139,5134967915,LRHarris@yahoo.com,74,1
19,103105079,euIfDJHsHCZuTKU8S6y,Paul,Farrell,Ashton,8/5/2018,Male,135,156.91,10647 Borland Ct,Holland,MS,78461,3468236611,PAFarrell@yahoo.com,19,1
20,535926612,mlAQGWP1ji8z09FZAnk,Walter,Andrews,Deanna,2/3/1928,Male,165,80.91,715941 Borland Ct,Marquette,WA,33964,9341316456,WDAndrews@yahoo.com,41,1
21,169680029,276fb9IeY1jwm1vM,Kellan,Morrison,Madaline,4/23/1975,Male,149,98.3,3761 Borland Ct,Saint Joseph,AK,44419,8694745797,KMMorrison@hotmail.com,66,1
22,569488111,npOJVgFdGGFEh4t2X,Sarah,,Eddy,2/29/1988,Female,141,91.94,715941 Division St,Flint,CO,34923,9918485646,SEReed@svsu.edu,100,0
23,736668998,scCWQ9OT65nE0yKLZrrof2xt5,Preston,Stewart,Sienna,5/11/1965,Male,196,110.6,10647 Hill St,Holland,DE,33866,1638127414,PSStewart@gmail.com,15,1
